P1,P2,P3,P4,P5,P6,P7,P8
0,0,0,0,232,21,148,77
0,0,0,0,212,21,224,133
0,0,0,0,48,21,215,216
0,0,0,0,132,21,211,40
0,0,0,0,156,21,216,69
0,0,0,0,180,21,225,102
0,0,0,0,140,21,232,69
0,0,0,0,156,21,239,92
0,0,0,0,224,22,9,187
0,0,0,0,192,22,31,177
0,0,0,0,184,22,34,172
0,0,0,0,92,22,66,112
0,0,0,0,104,22,142,200
0,0,0,0,204,22,162,64
0,0,0,0,232,23,2,189
0,0,0,0,72,22,128,154
0,0,0,0,200,22,42,196
0,0,0,0,8,22,43,5
0,0,0,0,196,22,54,204
0,0,0,0,4,22,49,7
0,0,0,0,180,22,115,249
0,0,0,0,8,22,144,106
0,0,0,0,96,22,165,215
0,0,0,0,212,23,18,185
0,0,0,0,248,23,76,23
0,0,0,0,220,23,86,5
0,0,0,0,236,23,72,7
0,0,0,0,252,23,81,32
0,0,0,0,192,23,92,239
0,0,0,0,88,23,18,61
0,0,0,0,96,22,165,215
0,0,0,0,76,22,86,116
0,0,0,0,52,22,66,72
0,0,0,0,28,21,249,230
0,0,0,0,88,21,209,250
0,0,0,0,120,21,90,163
0,0,0,0,48,21,77,78
0,0,0,0,76,21,19,48
0,0,0,0,252,21,10,215
0,0,0,0,172,20,158,26
0,0,0,0,240,20,142,78
0,0,0,0,140,20,103,195
0,0,0,0,100,20,60,112
0,0,0,0,112,20,93,157
0,0,0,0,236,20,227,159
0,0,0,0,244,20,229,169
0,0,0,0,100,21,6,59
0,0,0,0,104,21,86,143
0,0,0,0,116,21,63,132
0,0,0,0,252,21,71,20
0,0,0,0,56,21,242,251
0,0,0,0,84,22,117,155
0,0,0,0,184,22,94,232
0,0,0,0,216,21,62,231
0,0,0,0,92,21,4,49
0,0,0,0,20,20,132,104
0,0,0,0,240,19,235,170
0,0,0,0,32,19,207,190
0,0,0,0,252,19,58,5
0,0,0,0,40,18,68,58
0,0,0,0,44,17,141,134
0,0,0,0,164,16,243,99
0,0,0,0,112,16,81,141
0,0,0,0,68,16,42,58
0,0,0,0,248,17,197,138
0,0,0,0,24,18,192,166
0,0,0,0,0,19,74,25
0,0,0,0,124,19,137,212
0,0,0,0,172,19,177,44
0,0,0,0,156,20,67,175
0,0,0,0,0,20,116,68
0,0,0,0,104,21,133,190
0,0,0,0,252,21,162,111
0,0,0,0,24,21,149,126
0,0,0,0,88,21,128,169
0,0,0,0,24,20,250,226
0,0,0,0,204,21,20,177
0,0,0,0,108,21,86,147
0,0,0,0,120,21,57,130
0,0,0,0,220,21,71,244
0,0,0,0,128,21,77,158
0,0,0,0,84,20,250,30
0,0,0,0,108,20,56,116
0,0,0,0,168,20,0,120
0,0,0,0,224,19,186,105
0,0,0,0,156,19,145,252
0,0,0,0,232,19,134,61
0,0,0,0,204,19,130,29
0,0,0,0,236,19,157,88
0,0,0,0,0,19,221,172
0,0,0,0,28,20,33,13
0,0,0,0,12,20,91,55
0,0,0,0,192,20,117,5
0,0,0,0,88,20,164,204
0,0,0,0,116,20,182,250
0,0,0,0,192,21,23,168
0,0,0,0,84,21,71,108
0,0,0,0,252,22,33,239
0,0,0,0,84,22,75,113
0,0,0,0,192,22,125,15
0,0,0,0,232,22,135,65
0,0,0,0,0,22,240,194
0,0,0,0,224,23,71,250
0,0,0,0,116,23,123,194
0,0,0,0,204,23,150,53
0,0,0,0,224,23,83,6
0,0,0,0,52,23,51,58
0,0,0,0,180,23,86,221
0,0,0,0,224,23,52,231
0,0,0,0,200,23,17,172
0,0,0,0,68,22,255,21
0,0,0,0,208,22,207,113
0,0,0,0,252,22,245,195
0,0,0,0,124,22,238,60
0,0,0,0,132,23,1,88
0,0,0,0,36,22,137,127
0,0,0,0,64,22,102,120
0,0,0,0,88,22,95,137
0,0,0,0,200,22,121,19
0,0,0,0,68,22,131,153
0,0,0,0,220,22,120,38
0,0,0,0,120,22,128,202
0,0,0,0,192,22,151,41
0,0,0,0,232,22,239,169
0,0,0,0,156,23,84,195
0,0,0,0,12,23,87,54
0,0,0,0,44,23,77,76
0,0,0,0,168,23,73,196
0,0,0,0,48,22,85,87
